,channel_name,#_of_unique_urls,#_of_unique_video_titles,#_of_accessed_time
671,avex,3,3,8
672,AP Archive,8,8,8
673,EminemVEVO,7,7,8
674,Yu-Yee Lien,8,8,8
675,Uncle Scooby,3,3,8
676,Just Josh,6,6,8
677,High Guy,3,3,8
678,patterson patron,4,4,8
679,LGR,7,7,8
680,CNBC Make It,7,7,8
681,Brownmark Films,1,1,8
682,FilmClipz4U,2,2,8
683,call-me-special,1,1,8
684,Best AniMe / MoVie Scenes,6,6,8
685,herrabanani,5,5,8
686,Smith Lyrics :D,1,1,8
687,StudiocanalUK,6,6,8
688,S0P0R,1,1,8
689,Joseph Park,8,8,8
690,MTN 머니투데이방송,7,7,8
691,Metal Scar,6,6,8
692,올리버쌤,8,8,8
693,차커 Chaco,5,5,8
694,잡학노트,8,8,8
695,Boogie Drum,8,8,8
696,OneMorePlease,7,7,7
697,TechRax,7,7,7
698,Warrior Poet Society,7,7,7
699,Vox,6,6,7
700,고려대학교 인재발굴처,1,1,7
701,We Are The Mighty,7,7,7
702,DRShrubberyMD,7,7,7
703,WildEats,6,6,7
704,Lucius Vorenus,1,1,7
705,WilliamFiset,6,6,7
706,Larnuk,4,4,7
707,열혈툴라 [TULA],3,3,7
708,Keep On Coding,6,6,7
709,Yanni,6,6,7
710,The 8-Bit Guy,6,6,7
711,Miramax,7,7,7
712,필름에빠지다,7,7,7
713,Simplilearn,7,7,7
714,Cafe Music BGM channel,6,6,7
715,Gravity Transformation - Fat Loss Experts,6,6,7
716,WION,7,7,7
717,iFixit,7,7,7
718,Sky News Australia,7,7,7
719,팡지니TV,7,7,7
720,TheRichest,7,7,7
721,FRONTLINE PBS | Official,6,6,7
722,FRONT PAGE TECH,7,7,7
723,SBS Entertainment,7,7,7
724,Hafu Go,5,5,7
725,ASBYT,7,7,7
726,빽능 - 스브스 옛날 예능,6,6,7
727,Head CP,1,1,7
728,사피엔스 스튜디오,7,7,7
729,Channel 4 News,7,7,7
730,Roman FiveFive,1,1,7
731,71superbee3,2,2,7
732,연합뉴스TV,7,7,7
733,60 Minutes Australia,6,6,7
734,French Warriors,1,1,7
735,히이라기,7,7,7
736,Fábio Barcelos,1,1,7
737,lcd,7,7,7
738,贛江西,4,4,7
739,CBC News: The National,7,7,7
740,To June,7,7,7
741,BuzzFeed Multiplayer,7,7,7
742,kinobscura,7,7,7
743,Fresca Vids,5,5,7
744,Scott Feth,5,5,7
745,배우는 사람,5,5,7
746,미공개 군대 영상,7,7,7
747,ToddMcFarlanesSpawn,1,1,7
748,Scene Cinema,3,3,7
749,CxRucku,1,1,7
750,38 P,7,7,7
751,무비우스,6,6,7
752,jm3dina,1,1,7
753,GetRektNoob,7,7,7
754,FitnessFAQs,5,5,7
755,Epic History TV,4,4,7
756,BlackView HD,5,5,7
757,IMPACT SCENES,2,2,7
758,김작가 TV,7,7,7
759,Unlimited Extender,3,3,7
760,Clay McLean,6,6,7
761,strikefr12,4,4,7
762,Radiohead,5,5,7
763,No Title,1,1,7
764,JoBlo Originals,5,5,7
765,Andrea Boma Boccarusso,5,5,7
766,R1ck M0rty,4,4,7
767,WB Kids,6,6,7
768,자유시장,7,7,7
769,Almighty96,7,7,7
770,씨네모리,7,7,7
771,Julia MusicStory,1,1,7
772,Yusha Thomas,7,7,7
773,Protectstar Inc.,1,1,7
774,MILITARY TV,7,1,7
775,MILITARY LIFE,6,6,7
776,OMGClanChannel,1,1,7
777,Video Games Source,3,3,7
778,DeadChannel770,1,1,7
779,Engadget,7,7,7
780,Jared Moser,4,4,7
781,The Slow Mo Guys,7,7,7
782,roflTiMeX,3,3,7
783,Life Is Short,1,1,7
784,USArmyMediaCenter,2,2,7
785,USNavySEALSWCC,2,2,7
786,StarCraft,4,4,7
787,소련여자 Soviet girl in Seoul,7,7,7
788,대학내일,2,2,7
789,Udacity,7,7,7
790,달빛부부,7,7,7
791,Lex Luthor,7,7,7
792,The Verge,6,6,7
793,Ean B,1,1,7
794,The U.S. Army,6,6,7
795,JT Extra,7,7,7
796,Dynasty,7,7,7
797,Mark Felton Productions,7,7,7
798,CineClips,4,4,7
799,Duck_Dave,2,2,7
800,All 4,6,6,7
801,주정뱅이,2,2,7
802,Legio Historia,2,2,7
803,연애상담원 석봉이,4,4,6
804,PDL,6,6,6
805,OverSimplified,6,6,6
806,디글 클래식 :Diggle Classic,6,6,6
807,Original Television Cast of Jesus Christ Superstar Live in Concert - Topic,5,5,6
808,Olympics,6,6,6
809,Matthew Moniz,5,5,6
810,동기부여소,6,6,6
811,드림코딩 by 엘리,5,5,6
812,TheIppoFan,2,2,6
813,Chaidar Bintara,1,1,6
814,띵잘 [띵작 추천해주는 잘생긴 남자],6,6,6
815,Truckin Dad,2,2,6
816,Cenas Épicas TV,3,3,6
817,Michel van Biezen,6,6,6
818,Midnight,6,6,6
819,Tovarishch Martins,2,2,6
820,메종[ph9002],2,2,6
821,CaleoGaming,6,6,6
822,Caleb Wolff,3,3,6
823,MrReggaeTony,1,1,6
824,CS1301,6,6,6
825,CRUX,6,6,6
826,무비도치[영화보는 고슴도치],6,6,6
827,CNBC International,3,3,6
828,무비희락,6,6,6
829,Tom Bilyeu,4,4,6
830,CGTN America,6,6,6
831,CGTN,6,6,6
832,MovieDeaths2000,5,5,6
833,CBC News,6,6,6
834,세바시 강연 Sebasi Talk,6,6,6
835,대범한TV,5,5,6
836,당신이 몰랐던 이야기,5,5,6
837,Cold Steel,5,5,6
838,Olive,6,6,6
839,Vintage Warfare,6,6,6
840,MAD LAB,5,5,6
